id,time,value
1,2024:11:11 21:57:05,361.4
2,2024:11:11 21:57:05,36.5
3,2024:11:11 21:57:05,44.4
4,2024:11:11 21:57:05,720.6
5,2024:11:11 21:57:05,184.9
1,2024:11:11 21:58:05,204.2
2,2024:11:11 21:58:05,7.6
3,2024:11:11 21:58:05,487.7
4,2024:11:11 21:58:05,523.0
5,2024:11:11 21:58:05,178.6
1,2024:11:11 21:59:05,8.2
2,2024:11:11 21:59:05,566.9
3,2024:11:11 21:59:05,369.8
4,2024:11:11 21:59:05,450.6
5,2024:11:11 21:59:05,234.9
1,2024:11:11 22:00:05,451.8
2,2024:11:11 22:00:05,36.2
3,2024:11:11 22:00:05,42.2
4,2024:11:11 22:00:05,510.3
5,2024:11:11 22:00:05,118.6
1,2024:11:11 22:01:05,543.1
2,2024:11:11 22:01:05,49.0
3,2024:11:11 22:01:05,11.8
4,2024:11:11 22:01:05,465.8
5,2024:11:11 22:01:05,186.8
1,2024:11:11 22:02:05,469.2
2,2024:11:11 22:02:05,42.2
3,2024:11:11 22:02:05,131.6
4,2024:11:11 22:02:05,502.9
5,2024:11:11 22:02:05,173.0
1,2024:11:11 22:03:05,366.6
2,2024:11:11 22:03:05,139.0
3,2024:11:11 22:03:05,514.9
4,2024:11:11 22:03:05,483.1
5,2024:11:11 22:03:05,164.3
1,2024:11:11 22:04:05,416.6
2,2024:11:11 22:04:05,51.8
3,2024:11:11 22:04:05,506.3
4,2024:11:11 22:04:05,100.8
5,2024:11:11 22:04:05,200.2
1,2024:11:11 22:05:05,369.7
2,2024:11:11 22:05:05,68.9
3,2024:11:11 22:05:05,437.9
4,2024:11:11 22:05:05,1.9
5,2024:11:11 22:05:05,83.5
1,2024:11:11 22:06:05,547.9
2,2024:11:11 22:06:05,55.5
3,2024:11:11 22:06:05,405.1
4,2024:11:11 22:06:05,511.3
5,2024:11:11 22:06:05,459.0
1,2024:11:11 22:07:05,244.0
2,2024:11:11 22:07:05,692.7
3,2024:11:11 22:07:05,44.8
4,2024:11:11 22:07:05,426.8
5,2024:11:11 22:07:05,75.3
1,2024:11:11 22:08:05,474.9
2,2024:11:11 22:08:05,44.2
3,2024:11:11 22:08:05,539.5
4,2024:11:11 22:08:05,512.0
5,2024:11:11 22:08:05,38.4
1,2024:11:11 22:09:05,5.5
2,2024:11:11 22:09:05,45.0
3,2024:11:11 22:09:05,377.0
4,2024:11:11 22:09:05,365.7
5,2024:11:11 22:09:05,585.8
1,2024:11:11 22:10:05,485.2
2,2024:11:11 22:10:05,37.5
3,2024:11:11 22:10:05,11.8
4,2024:11:11 22:10:05,491.8
5,2024:11:11 22:10:05,173.7
1,2024:11:11 22:11:05,539.8
2,2024:11:11 22:11:05,42.6
3,2024:11:11 22:11:05,571.5
4,2024:11:11 22:11:05,598.2
5,2024:11:11 22:11:05,396.9
1,2024:11:11 22:12:05,514.9
2,2024:11:11 22:12:05,35.8
3,2024:11:11 22:12:05,395.5
4,2024:11:11 22:12:05,486.8
5,2024:11:11 22:12:05,103.8
1,2024:11:11 22:13:05,201.0
2,2024:11:11 22:13:05,51.6
3,2024:11:11 22:13:05,454.0
4,2024:11:11 22:13:05,56.5
5,2024:11:11 22:13:05,181.8
1,2024:11:11 22:14:05,486.6
2,2024:11:11 22:14:05,46.6
3,2024:11:11 22:14:05,451.6
4,2024:11:11 22:14:05,361.3
5,2024:11:11 22:14:05,238.6
1,2024:11:11 22:15:05,349.2
2,2024:11:11 22:15:05,54.6
3,2024:11:11 22:15:05,39.0
4,2024:11:11 22:15:05,724.1
5,2024:11:11 22:15:05,203.3
1,2024:11:11 22:16:05,45.7
2,2024:11:11 22:16:05,324.4
3,2024:11:11 22:16:05,435.6
4,2024:11:11 22:16:05,371.1
5,2024:11:11 22:16:05,47.1
1,2024:11:11 22:17:05,363.3
2,2024:11:11 22:17:05,45.0
3,2024:11:11 22:17:05,520.4
4,2024:11:11 22:17:05,606.9
5,2024:11:11 22:17:05,198.4
1,2024:11:11 22:18:05,526.2
2,2024:11:11 22:18:05,5.3
3,2024:11:11 22:18:05,707.9
4,2024:11:11 22:18:05,707.8
5,2024:11:11 22:18:05,81.0
1,2024:11:11 22:19:05,389.0
2,2024:11:11 22:19:05,38.4
3,2024:11:11 22:19:05,423.6
4,2024:11:11 22:19:05,355.1
5,2024:11:11 22:19:05,247.0
1,2024:11:11 22:20:05,390.6
2,2024:11:11 22:20:05,49.1
3,2024:11:11 22:20:05,55.4
4,2024:11:11 22:20:05,496.9
5,2024:11:11 22:20:05,776.6
1,2024:11:11 22:21:05,483.1
2,2024:11:11 22:21:05,133.1
3,2024:11:11 22:21:05,484.0
4,2024:11:11 22:21:05,534.6
5,2024:11:11 22:21:05,165.8
1,2024:11:11 22:22:05,533.2
2,2024:11:11 22:22:05,45.2
3,2024:11:11 22:22:05,472.4
4,2024:11:11 22:22:05,473.5
5,2024:11:11 22:22:05,353.2
1,2024:11:11 22:23:05,541.4
2,2024:11:11 22:23:05,716.2
3,2024:11:11 22:23:05,51.7
4,2024:11:11 22:23:05,407.4
5,2024:11:11 22:23:05,247.3
1,2024:11:11 22:24:05,86.8
2,2024:11:11 22:24:05,140.5
3,2024:11:11 22:24:05,467.2
4,2024:11:11 22:24:05,417.3
5,2024:11:11 22:24:05,220.9
1,2024:11:11 22:25:05,405.5
2,2024:11:11 22:25:05,10.3
3,2024:11:11 22:25:05,574.4
4,2024:11:11 22:25:05,499.7
5,2024:11:11 22:25:05,248.8
1,2024:11:11 22:26:05,134.6
2,2024:11:11 22:26:05,48.4
3,2024:11:11 22:26:05,358.9
4,2024:11:11 22:26:05,431.6
5,2024:11:11 22:26:05,130.4
1,2024:11:11 22:27:05,452.8
2,2024:11:11 22:27:05,52.0
3,2024:11:11 22:27:05,10.3
4,2024:11:11 22:27:05,528.5
5,2024:11:11 22:27:05,241.9
1,2024:11:11 22:28:05,317.3
2,2024:11:11 22:28:05,53.5
3,2024:11:11 22:28:05,504.1
4,2024:11:11 22:28:05,372.2
5,2024:11:11 22:28:05,224.5
1,2024:11:11 22:29:05,773.8
2,2024:11:11 22:29:05,44.1
3,2024:11:11 22:29:05,48.7
4,2024:11:11 22:29:05,159.7
5,2024:11:11 22:29:05,702.3
1,2024:11:11 22:30:05,393.8
2,2024:11:11 22:30:05,72.8
3,2024:11:11 22:30:05,387.3
4,2024:11:11 22:30:05,378.2
5,2024:11:11 22:30:05,316.5
1,2024:11:11 22:31:05,224.9
2,2024:11:11 22:31:05,488.2
3,2024:11:11 22:31:05,688.4
4,2024:11:11 22:31:05,497.5
5,2024:11:11 22:31:05,155.7
1,2024:11:11 22:32:05,542.9
2,2024:11:11 22:32:05,50.3
3,2024:11:11 22:32:05,8.7
4,2024:11:11 22:32:05,467.5
5,2024:11:11 22:32:05,618.2
1,2024:11:11 22:33:05,83.5
2,2024:11:11 22:33:05,49.6
3,2024:11:11 22:33:05,499.9
4,2024:11:11 22:33:05,385.6
5,2024:11:11 22:33:05,205.3
1,2024:11:11 22:34:05,391.6
2,2024:11:11 22:34:05,739.3
3,2024:11:11 22:34:05,45.3
4,2024:11:11 22:34:05,551.7
5,2024:11:11 22:34:05,89.2
1,2024:11:11 22:35:05,693.3
2,2024:11:11 22:35:05,40.5
3,2024:11:11 22:35:05,560.7
4,2024:11:11 22:35:05,69.6
5,2024:11:11 22:35:05,350.8
1,2024:11:11 22:36:05,498.5
2,2024:11:11 22:36:05,45.5
3,2024:11:11 22:36:05,369.8
4,2024:11:11 22:36:05,418.6
5,2024:11:11 22:36:05,191.6
1,2024:11:11 22:37:05,396.8
2,2024:11:11 22:37:05,54.7
3,2024:11:11 22:37:05,369.9
4,2024:11:11 22:37:05,408.8
5,2024:11:11 22:37:05,240.4
1,2024:11:11 22:38:05,436.3
2,2024:11:11 22:38:05,650.7
3,2024:11:11 22:38:05,385.7
4,2024:11:11 22:38:05,524.6
5,2024:11:11 22:38:05,434.4
1,2024:11:11 22:39:05,329.7
2,2024:11:11 22:39:05,80.3
3,2024:11:11 22:39:05,545.2
4,2024:11:11 22:39:05,475.8
5,2024:11:11 22:39:05,226.8
1,2024:11:11 22:40:05,374.1
2,2024:11:11 22:40:05,44.0
3,2024:11:11 22:40:05,355.5
4,2024:11:11 22:40:05,284.8
5,2024:11:11 22:40:05,569.0
1,2024:11:11 22:41:05,458.4
2,2024:11:11 22:41:05,53.3
3,2024:11:11 22:41:05,601.0
4,2024:11:11 22:41:05,434.9
5,2024:11:11 22:41:05,179.8
1,2024:11:11 22:42:05,461.5
2,2024:11:11 22:42:05,49.3
3,2024:11:11 22:42:05,677.5
4,2024:11:11 22:42:05,448.5
5,2024:11:11 22:42:05,211.9
1,2024:11:11 22:43:05,313.2
2,2024:11:11 22:43:05,575.3
3,2024:11:11 22:43:05,505.9
4,2024:11:11 22:43:05,425.4
5,2024:11:11 22:43:05,662.3
1,2024:11:11 22:44:05,737.5
2,2024:11:11 22:44:05,49.3
3,2024:11:11 22:44:05,384.4
4,2024:11:11 22:44:05,477.2
5,2024:11:11 22:44:05,222.9
1,2024:11:11 22:45:05,407.7
2,2024:11:11 22:45:05,37.7
3,2024:11:11 22:45:05,717.3
4,2024:11:11 22:45:05,372.2
5,2024:11:11 22:45:05,217.6
1,2024:11:11 22:46:05,426.3
2,2024:11:11 22:46:05,48.8
3,2024:11:11 22:46:05,462.2
4,2024:11:11 22:46:05,517.2
5,2024:11:11 22:46:05,202.0
1,2024:11:11 22:47:05,370.5
2,2024:11:11 22:47:05,45.3
3,2024:11:11 22:47:05,355.3
4,2024:11:11 22:47:05,472.2
5,2024:11:11 22:47:05,217.6
1,2024:11:11 22:48:05,440.7
2,2024:11:11 22:48:05,43.3
3,2024:11:11 22:48:05,517.0
4,2024:11:11 22:48:05,401.4
5,2024:11:11 22:48:05,154.6
1,2024:11:11 22:49:05,274.3
2,2024:11:11 22:49:05,566.9
3,2024:11:11 22:49:05,493.5
4,2024:11:11 22:49:05,652.0
5,2024:11:11 22:49:05,207.2
1,2024:11:11 22:50:05,437.7
2,2024:11:11 22:50:05,48.6
3,2024:11:11 22:50:05,6.8
4,2024:11:11 22:50:05,479.3
5,2024:11:11 22:50:05,43.2
1,2024:11:11 22:51:05,444.3
2,2024:11:11 22:51:05,40.0
3,2024:11:11 22:51:05,354.3
4,2024:11:11 22:51:05,426.7
5,2024:11:11 22:51:05,249.0
1,2024:11:11 22:52:05,718.9
2,2024:11:11 22:52:05,53.3
3,2024:11:11 22:52:05,467.6
4,2024:11:11 22:52:05,437.3
5,2024:11:11 22:52:05,248.8
1,2024:11:11 22:53:05,417.1
2,2024:11:11 22:53:05,52.1
3,2024:11:11 22:53:05,367.1
4,2024:11:11 22:53:05,539.2
5,2024:11:11 22:53:05,221.2
1,2024:11:11 22:54:05,490.6
2,2024:11:11 22:54:05,42.3
3,2024:11:11 22:54:05,405.0
4,2024:11:11 22:54:05,434.8
5,2024:11:11 22:54:05,177.8
1,2024:11:11 22:55:05,532.6
2,2024:11:11 22:55:05,36.9
3,2024:11:11 22:55:05,447.0
4,2024:11:11 22:55:05,135.8
5,2024:11:11 22:55:05,245.6
1,2024:11:11 22:56:05,186.6
2,2024:11:11 22:56:05,40.2
3,2024:11:11 22:56:05,381.4
4,2024:11:11 22:56:05,94.6
5,2024:11:11 22:56:05,171.5
1,2024:11:11 22:57:05,380.2
2,2024:11:11 22:57:05,49.2
3,2024:11:11 22:57:05,391.6
4,2024:11:11 22:57:05,546.7
5,2024:11:11 22:57:05,3.2
1,2024:11:11 22:58:05,64.7
2,2024:11:11 22:58:05,661.9
3,2024:11:11 22:58:05,422.0
4,2024:11:11 22:58:05,551.8
5,2024:11:11 22:58:05,177.7
1,2024:11:11 22:59:05,77.5
2,2024:11:11 22:59:05,757.3
3,2024:11:11 22:59:05,367.1
4,2024:11:11 22:59:05,447.6
5,2024:11:11 22:59:05,194.2
1,2024:11:11 23:00:05,436.1
2,2024:11:11 23:00:05,37.1
3,2024:11:11 23:00:05,414.3
4,2024:11:11 23:00:05,393.6
5,2024:11:11 23:00:05,168.3
1,2024:11:11 23:01:05,104.9
2,2024:11:11 23:01:05,55.2
3,2024:11:11 23:01:05,478.1
4,2024:11:11 23:01:05,547.9
5,2024:11:11 23:01:05,220.9
1,2024:11:11 23:02:05,394.7
2,2024:11:11 23:02:05,37.1
3,2024:11:11 23:02:05,444.1
4,2024:11:11 23:02:05,397.4
5,2024:11:11 23:02:05,50.7
1,2024:11:11 23:03:05,485.0
2,2024:11:11 23:03:05,250.8
3,2024:11:11 23:03:05,505.9
4,2024:11:11 23:03:05,450.7
5,2024:11:11 23:03:05,50.4
1,2024:11:11 23:04:05,470.6
2,2024:11:11 23:04:05,50.1
3,2024:11:11 23:04:05,444.9
4,2024:11:11 23:04:05,709.9
5,2024:11:11 23:04:05,196.1
1,2024:11:11 23:05:05,452.1
2,2024:11:11 23:05:05,49.4
3,2024:11:11 23:05:05,416.1
4,2024:11:11 23:05:05,368.3
5,2024:11:11 23:05:05,244.1
1,2024:11:11 23:06:05,495.7
2,2024:11:11 23:06:05,53.1
3,2024:11:11 23:06:05,403.7
4,2024:11:11 23:06:05,363.4
5,2024:11:11 23:06:05,238.0
1,2024:11:11 23:07:05,435.9
2,2024:11:11 23:07:05,745.6
3,2024:11:11 23:07:05,515.2
4,2024:11:11 23:07:05,456.6
5,2024:11:11 23:07:05,221.7
1,2024:11:11 23:08:05,748.3
2,2024:11:11 23:08:05,715.2
3,2024:11:11 23:08:05,397.7
4,2024:11:11 23:08:05,404.6
5,2024:11:11 23:08:05,212.8
1,2024:11:11 23:09:05,425.4
2,2024:11:11 23:09:05,43.4
3,2024:11:11 23:09:05,515.4
4,2024:11:11 23:09:05,499.6
5,2024:11:11 23:09:05,175.1
1,2024:11:11 23:10:05,638.1
2,2024:11:11 23:10:05,52.6
3,2024:11:11 23:10:05,463.1
4,2024:11:11 23:10:05,445.2
5,2024:11:11 23:10:05,166.4
1,2024:11:11 23:11:05,489.3
2,2024:11:11 23:11:05,91.8
3,2024:11:11 23:11:05,3.0
4,2024:11:11 23:11:05,359.6
5,2024:11:11 23:11:05,243.2
1,2024:11:11 23:12:05,717.8
2,2024:11:11 23:12:05,9.7
3,2024:11:11 23:12:05,353.3
4,2024:11:11 23:12:05,789.8
5,2024:11:11 23:12:05,46.0
1,2024:11:11 23:13:05,668.7
2,2024:11:11 23:13:05,95.6
3,2024:11:11 23:13:05,525.6
4,2024:11:11 23:13:05,440.8
5,2024:11:11 23:13:05,163.2
1,2024:11:11 23:14:05,427.8
2,2024:11:11 23:14:05,46.7
3,2024:11:11 23:14:05,381.6
4,2024:11:11 23:14:05,524.7
5,2024:11:11 23:14:05,582.9
1,2024:11:11 23:15:05,495.5
2,2024:11:11 23:15:05,48.8
3,2024:11:11 23:15:05,470.3
4,2024:11:11 23:15:05,409.9
5,2024:11:11 23:15:05,55.6
1,2024:11:11 23:16:05,459.9
2,2024:11:11 23:16:05,46.6
3,2024:11:11 23:16:05,8.0
4,2024:11:11 23:16:05,365.3
5,2024:11:11 23:16:05,687.1
1,2024:11:11 23:17:05,429.6
2,2024:11:11 23:17:05,40.1
3,2024:11:11 23:17:05,5.1
4,2024:11:11 23:17:05,385.8
5,2024:11:11 23:17:05,207.2
1,2024:11:11 23:18:05,502.0
2,2024:11:11 23:18:05,271.0
3,2024:11:11 23:18:05,795.8
4,2024:11:11 23:18:05,461.4
5,2024:11:11 23:18:05,218.8
1,2024:11:11 23:19:05,476.6
2,2024:11:11 23:19:05,69.3
3,2024:11:11 23:19:05,508.0
4,2024:11:11 23:19:05,680.9
5,2024:11:11 23:19:05,169.8
1,2024:11:11 23:20:05,39.2
2,2024:11:11 23:20:05,49.1
3,2024:11:11 23:20:05,372.1
4,2024:11:11 23:20:05,320.3
5,2024:11:11 23:20:05,208.8
1,2024:11:11 23:21:05,587.1
2,2024:11:11 23:21:05,47.3
3,2024:11:11 23:21:05,537.1
4,2024:11:11 23:21:05,645.2
5,2024:11:11 23:21:05,240.1
1,2024:11:11 23:22:05,499.7
2,2024:11:11 23:22:05,80.5
3,2024:11:11 23:22:05,506.1
4,2024:11:11 23:22:05,695.8
5,2024:11:11 23:22:05,324.8
1,2024:11:11 23:23:05,483.8
2,2024:11:11 23:23:05,50.9
3,2024:11:11 23:23:05,397.0
4,2024:11:11 23:23:05,445.9
5,2024:11:11 23:23:05,223.2
1,2024:11:11 23:24:05,446.6
2,2024:11:11 23:24:05,48.2
3,2024:11:11 23:24:05,53.0
4,2024:11:11 23:24:05,516.6
5,2024:11:11 23:24:05,481.5
1,2024:11:11 23:25:05,519.1
2,2024:11:11 23:25:05,54.3
3,2024:11:11 23:25:05,205.8
4,2024:11:11 23:25:05,461.8
5,2024:11:11 23:25:05,422.6
1,2024:11:11 23:26:05,256.1
2,2024:11:11 23:26:05,52.6
3,2024:11:11 23:26:05,462.6
4,2024:11:11 23:26:05,234.8
5,2024:11:11 23:26:05,234.6
1,2024:11:11 23:27:05,439.9
2,2024:11:11 23:27:05,643.6
3,2024:11:11 23:27:05,44.4
4,2024:11:11 23:27:05,368.6
5,2024:11:11 23:27:05,172.2
1,2024:11:11 23:28:05,6.0
2,2024:11:11 23:28:05,42.3
3,2024:11:11 23:28:05,493.0
4,2024:11:11 23:28:05,529.9
5,2024:11:11 23:28:05,209.9
1,2024:11:11 23:29:05,544.3
2,2024:11:11 23:29:05,247.1
3,2024:11:11 23:29:05,423.3
4,2024:11:11 23:29:05,369.1
5,2024:11:11 23:29:05,244.1
1,2024:11:11 23:30:05,83.3
2,2024:11:11 23:30:05,36.8
3,2024:11:11 23:30:05,489.2
4,2024:11:11 23:30:05,418.0
5,2024:11:11 23:30:05,248.9
1,2024:11:11 23:31:05,365.2
2,2024:11:11 23:31:05,43.4
3,2024:11:11 23:31:05,497.9
4,2024:11:11 23:31:05,475.2
5,2024:11:11 23:31:05,174.7
1,2024:11:11 23:32:05,370.5
2,2024:11:11 23:32:05,44.8
3,2024:11:11 23:32:05,373.3
4,2024:11:11 23:32:05,5.2
5,2024:11:11 23:32:05,243.7
1,2024:11:11 23:33:05,544.4
2,2024:11:11 23:33:05,46.1
3,2024:11:11 23:33:05,9.5
4,2024:11:11 23:33:05,701.5
5,2024:11:11 23:33:05,226.5
1,2024:11:11 23:34:05,352.8
2,2024:11:11 23:34:05,43.4
3,2024:11:11 23:34:05,538.3
4,2024:11:11 23:34:05,535.0
5,2024:11:11 23:34:05,472.7
1,2024:11:11 23:35:05,486.5
2,2024:11:11 23:35:05,52.7
3,2024:11:11 23:35:05,517.4
4,2024:11:11 23:35:05,228.3
5,2024:11:11 23:35:05,233.1
1,2024:11:11 23:36:05,373.5
2,2024:11:11 23:36:05,197.6
3,2024:11:11 23:36:05,517.7
4,2024:11:11 23:36:05,388.0
5,2024:11:11 23:36:05,176.8
1,2024:11:11 23:37:05,379.7
2,2024:11:11 23:37:05,755.0
3,2024:11:11 23:37:05,511.7
4,2024:11:11 23:37:05,507.1
5,2024:11:11 23:37:05,230.8
1,2024:11:11 23:38:05,467.0
2,2024:11:11 23:38:05,45.8
3,2024:11:11 23:38:05,485.0
4,2024:11:11 23:38:05,5.3
5,2024:11:11 23:38:05,151.6
1,2024:11:11 23:39:05,330.5
2,2024:11:11 23:39:05,49.9
3,2024:11:11 23:39:05,9.7
4,2024:11:11 23:39:05,510.0
5,2024:11:11 23:39:05,459.4
1,2024:11:11 23:40:05,540.7
2,2024:11:11 23:40:05,105.2
3,2024:11:11 23:40:05,532.6
4,2024:11:11 23:40:05,530.8
5,2024:11:11 23:40:05,230.6
1,2024:11:11 23:41:05,477.5
2,2024:11:11 23:41:05,39.0
3,2024:11:11 23:41:05,453.0
4,2024:11:11 23:41:05,410.7
5,2024:11:11 23:41:05,242.4
1,2024:11:11 23:42:05,354.4
2,2024:11:11 23:42:05,49.8
3,2024:11:11 23:42:05,11.1
4,2024:11:11 23:42:05,45.0
5,2024:11:11 23:42:05,238.0
1,2024:11:11 23:43:05,105.3
2,2024:11:11 23:43:05,54.4
3,2024:11:11 23:43:05,383.5
4,2024:11:11 23:43:05,477.1
5,2024:11:11 23:43:05,158.2
1,2024:11:11 23:44:05,557.7
2,2024:11:11 23:44:05,38.8
3,2024:11:11 23:44:05,482.3
4,2024:11:11 23:44:05,445.2
5,2024:11:11 23:44:05,81.9
1,2024:11:11 23:45:05,369.9
2,2024:11:11 23:45:05,52.0
3,2024:11:11 23:45:05,8.5
4,2024:11:11 23:45:05,424.5
5,2024:11:11 23:45:05,54.3
1,2024:11:11 23:46:05,0.2
2,2024:11:11 23:46:05,35.9
3,2024:11:11 23:46:05,749.5
4,2024:11:11 23:46:05,487.9
5,2024:11:11 23:46:05,157.2
1,2024:11:11 23:47:05,405.9
